Название,Описание,Оценка
Naruto Movie 2: Dai Gekitotsu! Maboroshi no Chiteiiseki Dattebayo!,наруто шикамар сакура выполнять миссия поимка потерянный домашний животное доставка он определённый деревня время миссия команда нападать неизвестный ниндзя командование таинственный тэмуджина время битва наруто отделяться остальной команда теперь вынудить искать они этот поиск он узнавать странный сила иметь ничего общий чакра могущественный исчезнуть цивилизация тот друг встречаться вновь они приходиться начать борьба спасение весь мир,6.88
Appleseed,окончание третий мировой война организация известный главное управление заняться восстановление разрушить мир она создать экспериментальный город олимп населить человек киборг новый раса генетически создать существо биороида создать тот служить человек олимп должный быть стать утопия рай земля воплощение мечта абсолютный свобода любой цена некоторый житель город это согласный,6.6
Inukami!,кэйт кавахир представитель широко известный фамилия укротитель инугами выйти раз он недоставать способность семейный дело поэтому член род они пренебрегать однажды он явиться инугами имя ёко она выглядеть изящно покорно тот быть очень красивый вскоре он удаться она поладить она поспешить присягнуть он верность ёко быть очень проблемный инугами который всякий отказываться иметь дело потому контролировать её невозможно…перёд вы разухабистый комедия крутить повествование кэйт укротитель инугами инугами имя ёко кэйт человек мирской интерес он очень любить деньга неравнодушный противоположный пол другой сторона ёко который любить приводить беспорядок тот ещё ужасно ревнивый,7.27
Nishi no Yoki Majo: Astraea Testament,фириэль нетерпение ждать свой пятнадцатилетие неудивительный год юный дама официально разрешить посещать светский мероприятие платье сшить подруга готовый праздничный настроение наличие хватать грамотно подобрать украшение этот момент отец фириэль решать преподнести щедрый подарок ожерелие мать девушка остаться едва единственный памятный вещь её смерть бал преподнести фириэль далеко самый приятный сюрприз ожерелие признаваться украсть королевский семья отец фириэль скрываться самый неподходящий момент дом сгорать дотла она её друг детство ру объявляться настоящий охота один отныне известно наверняка жизнь фириэль никогда быть прежний,6.76
Yume Tsukai,человек видеть сон испытывать самый сильный желание эмоция предел свой сознание сильный эмоция пересекать граница реальность мочь превратиться неконтролируемый кошмар токо ринко сестра известный ловец сон они работа состоять тот избавляться этот кошмар использовать необычный игрушка качество оружие девочка должный уничтожать кошмар возвращать сон они законный владелец быть нанести какой серьёзный ущерб надо бояться токо ринко уже здесь,6.43
The Third: Aoi Hitomi no Shoujo,далёкий будущее межпланетный война затянуться век цивилизация быть разрушить человечество потерять только население суметь выжить странный племя человек третий появиться сразу война предполагать название они обладать третий глаз овальный форма красный зрачок два обыкновенный использовать свой космический глаз третий мочь управлять техника свой превосходящий сила править мир молодой девушка хонок мастер рука вместе свой необычный напарник бог она браться любой работа только убийство особый мастерство техника житель прозвать хонок танцующий меч однажды ночью направляться безлюдный пустыня встреча она находить спасать молодой парень называть себя икс открыть новый мир принять он работа хонок ввязываться авантюра вылиться настоящий вихрь событие весь,7.32
Top wo Nerae! Gunbuster,столь отдалить будущее обнаружить раса громадный насекомоподобный пришелец путешествовать галактика пришелец этот казаться захватить идея уничтожить человечество тот самый пора человек ступить предел солнечный система близкий близкий продвигаться земля человечество дремать скорый порядок разрабатывать боевой космический корабль гигантский боевой робот робот этот пилотироваться хороший храбрый молодой человек земля набор который производиться специальный школа весь мир история брать начало 2023 год некоторый время первый стычка пришелец фокусироваться девушка имя норико такой отец норико быть знаменитый капитан космический флот убитый один сражение начало война её способность пилотирование весьма сомнительный менее она записываться подготовительный школа протяжение весь сериал норико который присоединяться красивый талантливый кадзумить амано быть сражаться весь себя пытаться преодолеть травма нанести война двусмысленный взгляд свой сверстник нехватка уверенность себя,7.89
Ichigo 100% OVA,продолжение оригинальный сериал стопроцентный клубничка состоять четыре дополнительный эпизод основать побочный сюжетный глава глава бурный весенний фестиваль ночной туман который член клуб кинематограф готовиться косплей вечеринка глава побег академия оуметь который показать сумасшедший приключение джунпэя территория закрытый академия девушка глава новый кризис пансионат опасаться владелец который член клуб отправляться летний подработка далеко город глава внезапный изменение сердце который джунпэя предстоять сразиться грозный инопланетный захватчик женский трусик ova представлять внимание зритель два новый персонаж,6.9
Cosplay Complex,встречать чако её друг ассоциация косплей восточный академия оидзук они новый самый зажигательный команда косплеер япония только победить серия местный сражение план они победа cosplay world series сам дело чако её друг едва состояние поддерживать жизнь собственный клуб малый опыт участник клуб отсутсвие спонсорский помощь ставить осуществление они мечта вопрос стоить недооценивать этот пылкий девушка они пережить напор новичок извращенец соперник косплеер неудача костюм неудача собственный любовь тот достигнуть свой цель участие мировой соревнование одежда порхать девушка они одеваться раздеваться cosplay complex,5.83
Dragon Ball Z: Saiya-jin Zetsumetsu Keikaku,событие происходить игра целла последний выжить раса давный давно уничтожить саяна намереваться отомстить уничтожить весь остаться саяна таинственный райчить распылять земля некий дестрон газ который несколько день уничтожить население успеть гока он друг очередной раз спасти земля,6.78
Dragon Ball Z Special 2: Zetsubou e no Hankou!! Nokosareta Chousenshi - Gohan to Trunks,эпизод раскрывать временной линия история будущее транкса сон гока умирать вирусный болезнь сердце некоторый время семнадцатый восемнадцатый расправляться куририн вегетой остальной тринадцать год оставаться никто гохан кто мочь бросить вызов андроид тогда гохан браться обучать транкса возлагать он один единственный надежда спасение,7.72
Dragon Ball Z Special 1: Tatta Hitori no Saishuu Kessen,бардок отец гока являться низкоуровневый воин саянец который однажды получать способность видеть будущее свой раса тот будущее он становиться свидетель гибель раса теперь пытаться сделать возможный предотвратить настоящий,7.56
Dragon Ball GT: Gokuu Gaiden! Yuuki no Akashi wa Suushinchuu,история это эпизод повествовать событие происходить 100 год окончание драконий жемчуг бп главный действовать лицо являться уже престарелый пан новый поколение суперсайян пра правнук гока вегет герой земля внучка гока пан уже умереть пан есть внук назвать сон гока младший быть мальчик нет храбрость он предок один день пан случаться сердечный приступ гока младший надеяться смочь спасти её помощь сила четырёхзвёздный жемчужина вместе школьный хулиган он отправляться поиск жемчужина открывать себя скрытый сила храбрость,6.54
Usagi-chan de Cue!!,мик инаб тот ещё драчунья сегодня она отстаивать свой титул парень другой школа наслать хороший место крыша школа где стоять клетка кролик тут ещё её одноклассник хара матога прискакать проведать свой пушистый любимица крольчиха мимика заслышать место бой секунда отвлечь внимание хара мик обернуться подлый удар противник сломать клетка её зверушка падение крыша где она искренний порыв защитить дорогой хара пушистик крепко прижимать тот грудь закрывать грядущий столкновение земля всякий махо сёдзё лунный призма вспышка тёплый розовый свет сливаться ушастик трансформироваться девушка кролик мимика заядлый драчунья мик появляться второе я который безмерно любить хара селиться он дом сам мик доставаться роль появляться грозить хара он друг опасность неприятность захват ушастый пушистик человеческий обличие наведываться довольно регулярно,5.64
Dual! Parallel Lun-Lun Monogatari,кадзук ёцуг день день становиться невольный свидетель сражение робот ещё взрыв приходиться уворачиваться весь это он забывать записывать свой блог только незадача никто он весь это видеть он прослыть чудак который потешаться весь школа меняться тот день школьный красавица мицук санад приглашать он себя домой он удивление она верить он считать сумасшедший знакомить свой отец учёный кэном санадой который объяснять видеть галлюцинация событие происходить параллельный мир просить провести они ряд тест результат роковой ошибка кадзук оказываться друг мир попадать сердце битва где пытаться спасти пилот один робот вскоре кадзук понимать вернуться домой стать возможный только он удаться окончить война который тянуться это мир уже один год,7.09
Sin in the Rain,дождь токио ночь улица брести женщина промокнуть нитка её звать юи кимур девушка переживать сильный душевный травма убийство родитель свой проблема она обращаться свой надёжный советник психолог канзак судьба преподносить она ещё один испытание прямо время сеанс канзак жестоко убивать кёскэ такамизав человек который внезапно появиться тот дождливый ночь оказаться частный детектив взяться помочь юи,4.92
Tennis no Ouji-sama: Zenkoku Taikai-hen,сейгак продолжать бороться звание хороший команда национальный первенство расслабиться получиться новый соперник сильный старый знакомый отчаянно хотеть отомстить проигрыш тяжёлый матч новый атака неукротимый воля победа битва выход полуфинал,7.94
Bishoujo Senshi Sailor Moon: Sailor Stars,второй сезон сейлор звезда поделить два часть первый 167 172 серия повествовать продолжение четвёртый сезон новый конфликт нехелления который участвовать аутеры харука мичир сэцуна вместе переродиться хотар расти день час второй часть идти манга усага провожать мамор год учёба америка одновременно это япония прибывать новоиспечённый поп идол группа три звезда сэйя тайка ятэн появляться новый враг изумление усага остальной они сейлор воин разный планета галактика они прибыль сюда забрать звёздный семя житель земля свой повелительница галаксия есть ещё троица воин называть себя старлайта который собираться остановить галаксия свой сила,7.92
Bishoujo Senshi Sailor Moon S: Kaguya-hime no Koibito,профессор астронавтика какэра озоро спасать луна колесо машина луна очень благодарный учёный понимать влюбиться он время токио обрушиваться метель человек нападать демон который искать кристалл снежный принцесса каговать этот самый кристалл находиться профессор какэра камень оказывать негативный влияние какэра он ссориться свой девушка который должный полететь космос экспедиция соединить штат луна хотеть стать человек помочь озоро,7.68
Blue Seed,момиджи фуджимия детство воспитываться случай необходимость стать жертва обряд спасение человечество демон арага воспринимать иначе бабкин сказка иначе размеренный спокойный жизнь старшеклассница быть нарушить неожиданный нападение один такой демон погибнуть момиджи быть спасти таинственный кусанагой получеловек полудемон впоследствии девушка обрести сила чувствовать другой арага расстояние узнать весь правда желать сидеть дело она промедление вступать зцу организация стремиться победить арага любой средство допустить жертвоприношение,7.03
Blue Seed 2,победа арага пройти год тот пора они большой появляться зцу распустить она член разбежаться кто япония давно уже восстановиться разрушение жить далёкий отношение момиджи мамор сплошной разлад они большой отдаляться друг друг менять красноволосый красотка валенсия тачибан прибыть помощь сан франциско где вновь давать себя знать арага старый команда зцу собираться вместе снова дать отпор новый угроза узнать кто стоить весь это,6.45
Uchuu Kaizoku Captain Herlock,2977 год человечество перестать развиваться работа выполняться машина время человек тратить свой время развлечение таинственный инопланетный раса мазоновый начинать вторжение земной правительство принимать попытка борьба независимость только легендарный космический пират капитан харлок вместе свой экипаж звездолёт аркадий решать одиночка вести борьба инопланетный агрессор,7.71
Top wo Nerae 2! Diebuster,сюжет повествовать деревенский простодушный девушка имя ноно мечтать стать пилот космический корабль нонорина который случайный встреча настоящий пилот имя ларк становиться член называть братство непростой задача который управлять огромный боевой робот сражаться рой космический монстр ноно воодушевляться пример этот смелый самоуверенный девушка вдобавок начинать относиться она старший сестра такой напарник настоящий космический пилот путь заветный мечта наверняка оказаться близкий,7.67
Aa! Megami-sama! (TV) Specials,связь событие произойти конец первый сезон богиня появиться некоторый проблема стабильность они система что урд становиться маленький девочка скульда наоборот взрослеть каждый они пережить уникальный день новый обличие,7.53
Kanojo to Kanojo no Neko,короткометражный ova рассказывать одинокий незамужний женщина видеть повседневный жизнь её кот первый фильм макото синкай нарисовать озвучить он одиночка,7.33
Tenchi Muyou! in Love,ужасный космический пират кэйн сбегать тюрьма разрушать штаб квартира галактический полиция тот дзюрая смочь он помешать кэйн возвращаться 1970 год убить мать тенти ещё он рождение тенти свой компания должный отправиться прошлое помешать кэйн пока тенти перестать существовать,7.43
Ranma ½: Yomigaeru Kioku,новость необычный животный обнаружить лес рюгэнзав всколыхнуть далёкий детский воспоминание аканэ отдых вместе семья тот край заблудиться лес она наткнуться самый существо быть спасти таинственный мальчик сей пора считать этот встреча обычный сон аканэ одиночка отправляться рюгэнзав поиск мальчик отблагодарить свой спасение вернуть амулет который он дать она прощание защита она ранм получить наказ аканэ возвращаться,7.63
Ranma ½: Chou Musabetsu Kessen! Ranma Team vs. Densetsu no Houou,татэвак куно покупать один антикварный магазин таинственный яйцо легендарный феникс слово продавец мастер рукопашный бой очень он ценить неспроста владелец яйцо способный обучиться особый атака хоо кэн русый меч феникс есть только один железный правило кой случай класть яйцо себя голова иначе быть беда проходить день татэвак тут нарушать он повстречать ранм недалеко магазин тот миг яйцо оказаться голова куно он вылупиться птенец феникс ранм первый кто тот увидеть рождение становиться объект постоянный нападки необычный детёныш тот продавец ранм узнавать единственный возможность избавиться птенец накормить он специальный пилюля рост,7.38
Sexy Commando Gaiden: Sugoi yo!! Masaru-san Specials,эпизод который томоэ масар вспоминать основной событие сериал,6.46
Le Chevalier D'Eon,восемнадцатый век франция лия бомон верный прислужница версаль свой король людовик пятнадцатый найти мёртвый река сена она плыть гроб который быть начертать слово псалом выясниться умереть отравление ртуть предотвращать разложение тело представление церковь душа принадлежащий тело который почва поглотить неспособный быть вечно блуждать царство человек смочь проследовать небо произойти шокировать д’эон бомон брат лия являться ещё один доверенный шпион король он клясться выяснить кто почему она быть убитый он голова мочь прийти кто быть руководить месть стать лия овладеть он собственный тело доблестный рыцарь сделать ответ который он искать способный поставить угроза франция сам история вновь рассказывать себя этот мистический повесть отмщение верность предательство,7.22
Full Metal Panic! The Second Raid: Wari to Hima na Sentaichou no Ichinichi,свой выходной телета тестаросс просыпаться свой кресло командующий она там оказаться девушка помнить мало тот её любимый медвежонок пропасть выяснить произойти прошлое вечером она прийтись провести расследование посетить весь основный член команда данаана,7.68
Gunnm,дайсукэ идо врач механик который жить работать постапокалиптический свалка однажды где глубина свалка он находить останки девушка киборг тот он оживлять перестраивать её невероятно сильный страдать амнезия гали начинать ковать свой жизнь мир где каждый день происходить борьба жизнь адаптация первый два том манга боевой ангел алит,7.09
Majutsushi Orphen,шесть год назад школа волшебство известный башня клык произойти роковой инцидент который быть вовлечёный магический меч балтандерс волшебница азали суметь удержать сила меч контроль азали превратиться гигантский дракон который тот день стать известный кровавый август криланцелый юный маг башня питать большой интерес азали выяснять вящий свой негодование старейшина башня клык заботиться тот спасти волшебница охотный направлять усилие оставить произойти тайна раздосадовать подобный отношение крилансесть клясться отыскать способ вернуть азали её прежний вид он отказываться свой прежний имя брать себя имя орфен затем оставлять башня свой магический штудия пуститься свободный путешествие мир,7.16
Honoo no Mirage,история весьма запутать взаимоотношение переродить такой оги типичный школьник единственный он желание жить обычный жизнь свой друг обстоятельство сталкивать он нобуцуна наоэ который напоминать он история пять век назад япония бушевать кровавый междоусобица более сотня год феодал сражаться друг друг власть территория японский история этот период известный эпоха воевать провинция окончание он ознаменоваться объединение весь страна власть клан токугава эпоха воевать провинция вовсе закончиться жаждать реванш дух кануть лёт генерал развязать усобица дух который распространиться наш мир только пятеро способный защитить наш мир надвигаться хаос воин клан уэсуг призвать положить конец многовековый вражда уже 400 год они перерождаться тело другой человек противостоять одержимый мщение дух прошлое нобуцуна заявлять такай возродиться дух кагэтор уэсуг предводитель воин армия уэсуг память кагэтор вернуться он наоэ пробуждать способность оги изгнать злой дух сражаться c феодальный преисподняя улучшать свой способность такой начинать вспоминать время тёмный сила начинать свой атака призывать мир дух сойти мир живой,6.56
Honoo no Mirage: Minagiwa no Hangyakusha,такать посылать киото тот провести расследование дело вновь пробудиться секта икко дело арак мурашиго член секта икко оставить свой клан помощь свой подчинённый харуя такой конец конец удаваться выйти след арак охотиться свой очередь четырёхсотлетный мандала буддийский артефакт медитация сделать волос усопший человек клан арак несчастие время они встреча харуя узнавать арак шитара любовник её прошлое такой приказывать она уничтожить арак рассматривать он угроза смочь она сделать время такой наконец встречать наий,6.89
Kaikan Phrase,разрыв группа гитарист юки барабанщик сант решить организовать новый который превзойти весь они предыдущий опыт они звать весьма умелый басистый группа neon тов энергичный старшеклассник ацурый поздний услышать голос сакуи они решать он единственный возможный вокалист они новоиспечённый группа lucifer завлечь он оказаться участник lucifer теперь вместе быть пробиваться мир шоу бизнес дебютировать стать профи номер один остаться вместе они прийтись пройти личный проблема родительский возражение трение себя саковать самый проблемный участник группа свой непростой прошлое отношение юный поэтесса айнэ,7.4
Generator Gawl,три друг будущее отправляться 138 год прошлое только один цель изменить ход история рё гаул коджи учёный проводить исследование весь страна генетически изменять человек помощь генератор дать генератор изобрести военный инструмент использовать время третий мировой война мощный оружие привести гибель человечество захват власть мир мощный корпорация наступление унылый будущее оставаться следить развитие событие гадать удаться герой завершить они миссия,6.91
Wolf's Rain OVA,финальный серия оригинальный сериал мир рушиться старое уходить ночь дать место новый начало герой продолжать поиск свой рай они наконец встречать лорд дарсия исполнить друг свой судьба,8.03
Weiß Kreuz OVA,неизвестный возжелать увидеть падение группировка белый крест похоже разработать идеальный план это четвёрка юный убийца оказываться ловушка смертельный игра обман где свет выходить вопрос честь долг теперь они должный бороться свой собственный принцип выжить это поле бой мочь быть только один победитель,6.87
Kachou Ouji,одзь танака есть жена ребёнок нудный офисный работа он жизнь всегда быть такой скучный пятнадцать год назад он быть известный габриэль лидер недолго жить хэви метать группа black heaven англ чёрный небо жизнь одзь резко меняться загадочный блондинка имя лейла предлагать он снова взять рука старый gibson flying продемонстрировать свой легендарный навык игра гитара одзь принимать приглашение подозревать он музыка генерировать энергия огромный пушка использовать межгалактический война,7.01
Arete Hime,запереть башня замок принцесса аритэ проводить свой день окно наблюдать жизнь город иногда она тайком пробираться наружу понаблюдать жизнь работа обычный человек время рыцарь королевство сражаться право жениться принцесса пытаться отыскать магический предмет сделать давно вымереть раса волшебник аритэ совсем нужный этот игрушка принцесса хотеть жить обычный человек отправиться далёкий край который она читать только книга однажды королевство прилетать волшебник бокс предлагать себя муж аритэ одурачить придворный он забирать принцесса превращать её безвольный марионетка,6.92
Omoide Poroporo,таэко окадзима типичный офис леди большой компания большой город однажды она брать отпуск ехать сельский местность префектура ямагат свой деверь путешествие навевать женщина воспоминание пятый класс время свой пребывание ямагат таэко много работать вполне счастливый жить фермер находиться окружение дружный родственник житель деревня результат что ещё большой предаваться воспоминание гостеприимство деревушка заставлять окадзима пересмотреть свой ценность жизнь,7.47
Heisei Tanuki Gassen Ponpoko,весёлый задира танук всегда беззаботно жить здесь соседство человек они владение токио неумолимо расти расширяться теперь любимый лес окружающий он гора поле превращаться строительный площадка новый строительство защитить свой дом танук приходиться бороться они предстоять заново научиться давно забытый секретный умение превращение они посылать самый талантливый молодой другой клан старейшина хороший мастер превращение время остаться стараться дать отпор наглый захватчик всячески запугивать человек округ человек наш время известно становиться более находчивый предприимчивый менее богобоязненный суеверный предпочитать материальный благо духовный танук приходиться идти самый экстремальный мера сохранить свой дом,7.33
Kumo no You ni Kaze no You ni,старый традиция смерть император он наложница должный покинуть дворец освободить свой место избранница будущее правитель молодой жизнерадостный девушка имя гинга посчастливиться стать один они вместе свой беззаботный жизнерадостный характер девушка лёгкость удаваться пройти тяжёлый многий другой претендентка обучение который будущий наложница учиться быть супруг достойный император менее оказываться гинга страна готовиться восстание молодой император уже долгий время планироваться покушение,6.81
Sennen Joyuu,киностудия гинэя поручать режиссёр гэнья татибан снять документальный фильм жизнь выдающийся актриса он молодость тиёкий фудзивар она быть главный актриса студия 1930 х 1960 быть год фильм приурочить её семидесятилетие тиёкий начинать предаваться воспоминание свой жизнь татибан он оператор отправляться блестящий невероятный путешествие время фильм тиёкий её воспоминание прошлый переплетаться настоящий причудливый искажать граница реальность,8.27
Ouritsu Uchuugun: Honneamise no Tsubasa,королевский вкс нехватка опытный кадр дефицит деньга загибаться они давать последний шанс успех они окончательно закрыть нужно запустить человек космос один удачный попытка запуск ракета малый шанс успех последний попытка учёный использовать этот шанс продвижение наука вперёд военный свой зловещий план этот программа детство я мечтать стать полярный лётчик хотеть летать настоящий поступать ввс они такой быстрый летать высоко я быть ничего хороший полёт два месяц окончание школа я понять мой оценка я ловить нечего итог я оказаться военный космический сила сироцуг ладатт становиться курсант вкс пытаться исполнить свой мечта,7.53
Patalliro Saiyuuki!,санзохошить гэнджо буддийский монах отправить император путешествие цель найти священный буддийский писание однажды время свой путь гэнджо встречать земной божество который рассказывать будда послать он ученик озорной обезьяний божество имя гока сон быть запечатать гора долгий 500 год бесчинство устроенный они небо вместе любящий выпить красавчик хаккай что генерал небесный армия годжо са они конь он наследный принц дракон рюб компания ждать множество приключение который прийтись бороться монстр выяснить кто они хороший оригинал бисёнэн,6.62
